productTypeActive,productTypeDisplayOrder,,productType,productTypeLengthStick,sizeActive,size,sizePopularityScore,bundleActive,sticksPerBundle,bundlesPerTruckload,sticksPerTruckload,Eagle-%_LOAD_Per_Lift
Y,100,y,"1/2"" PVC PIPE  SCH 40 - BELL END",20',Y,"1/2"" PVC PIPE  SCH 40 - BELL END, 360 - 36",2,Y,360,36,12960,2.8
Y,105,y,"3/4"" PVC PIPE  SCH 40 - BELL END",20',Y,"3/4"" PVC PIPE  SCH 40 - BELL END, 400 - 24",7,Y,400,24,9600,4.2
Y,110,y,"1"" PVC PIPE  SCH 40 - BELL END",20',Y,"1"" PVC PIPE  SCH 40 - BELL END, 280 - 20",2,Y,280,20,5600,5
Y,115,y,"1 1/4"" PVC PIPE  SCH 40 - BELL END",20',Y,"1 1/4"" PVC PIPE  SCH 40 - BELL END, 220 - 24",2,Y,220,24,5280,4.2
Y,120,y,"1 1/2"" PVC PIPE  SCH 40 - BELL END",20',Y,"1 1/2"" PVC PIPE  SCH 40 - BELL END, 180 - 24",2,Y,180,24,4320,4.2
Y,125,y,"2"" PVC PIPE  SCH 40 - BELL END",20',Y,"2"" PVC PIPE  SCH 40 - BELL END, 105 - 24",1,Y,105,24,2520,4.2
Y,130,y,"2 1/2"" PVC PIPE  SCH 40 - BELL END",20',Y,"2 1/2"" PVC PIPE  SCH 40 - BELL END, 73 - 24",4,Y,73,24,1752,4.2
Y,135,y,"3"" PVC PIPE  SCH 40 - BELL END",20',Y,"3"" PVC PIPE  SCH 40 - BELL END, 75 - 16",4,Y,75,16,1200,6.3
Y,140,y,"4"" PVC PIPE  SCH 40 - BELL END",20',Y,"4"" PVC PIPE  SCH 40 - BELL END, 57 - 12",7,Y,57,12,684,8.3
Y,145,y,"6"" PVC PIPE  SCH 40 - BELL END",20',Y,"6"" PVC PIPE  SCH 40 - BELL END, 26 - 12",8,Y,26,12,312,8.3
Y,150,y,"8"" PVC PIPE  SCH 40 - BELL END",20',Y,"8"" PVC PIPE  SCH 40 - BELL END, 15 - 12",9,Y,15,12,180,8.3
Y,155,y,"10"" PVC PIPE  SCH 40 - BELL END",20',Y,"10"" PVC PIPE  SCH 40 - BELL END, 12 - 12",5,Y,12,12,144,8.3
Y,160,y,"12"" PVC PIPE  SCH 40 - BELL END",20',Y,"12"" PVC PIPE  SCH 40 - BELL END, 6 - 6",8,Y,6,6,84,7.1
Y,165,y,"12"" PVC PIPE  SCH 40 - BELL END",20',Y,"12"" PVC PIPE  SCH 40 - BELL END, 8 - 6",8,Y,8,6,84,9.5
Y,,,,,Y,,,Y,,,,
Y,200,y,"4"" DR18 PVC PIPE  C-900 - GASKET",20',Y,"4"" DR18 PVC PIPE  C-900 - GASKET, 60 - 12",9,Y,60,12,720,8.3
Y,205,y,"6"" DR18 PVC PIPE  C-900 - GASKET",20',Y,"6"" DR18 PVC PIPE  C-900 - GASKET, 28 - 12",10,Y,28,12,336,8.3
Y,210,y,"8"" DR18 PVC PIPE  C-900 - GASKET",20',Y,"8"" DR18 PVC PIPE  C-900 - GASKET, 15 - 8",6,Y,15,8,200,7.5
Y,215,y,"8"" DR18 PVC PIPE  C-900 - GASKET",20',Y,"8"" DR18 PVC PIPE  C-900 - GASKET, 20 - 4",6,Y,20,4,200,10
Y,220,y,"8"" DR18 PVC PIPE  C-900 - GASKET",20',Y,"8"" DR14 PVC PIPE  C-900 - GASKET, 15 - 12",6,Y,15,12,200,8.3
