Category_Active,Category_Description_Display_Order,Category_Description,Category_Popularity_Score,Product_Active,Product_Description,Sticks_Per_Bundle,Bundles_Per_Truckload,Sticks_Per_Truckload,Length_Stick,Eagle-%_LOAD_Per_Lift
Y,100,"1/2"" PVC PIPE  SCH 40 - BELL END",2,Y,"1/2"" PVC PIPE  SCH 40 - BELL END, 360 - 36",360,36,12960,20',2.8
Y,105,"3/4"" PVC PIPE  SCH 40 - BELL END",7,Y,"3/4"" PVC PIPE  SCH 40 - BELL END, 400 - 24",400,24,9600,20',4.2
Y,110,"1"" PVC PIPE  SCH 40 - BELL END",2,Y,"1"" PVC PIPE  SCH 40 - BELL END, 280 - 20",280,20,5600,20',5
Y,115,"1 1/4"" PVC PIPE  SCH 40 - BELL END",2,Y,"1 1/4"" PVC PIPE  SCH 40 - BELL END, 220 - 24",220,24,5280,20',4.2
Y,120,"1 1/2"" PVC PIPE  SCH 40 - BELL END",2,Y,"1 1/2"" PVC PIPE  SCH 40 - BELL END, 180 - 24",180,24,4320,20',4.2
Y,125,"2"" PVC PIPE  SCH 40 - BELL END",1,Y,"2"" PVC PIPE  SCH 40 - BELL END, 105 - 24",105,24,2520,20',4.2
Y,130,"2 1/2"" PVC PIPE  SCH 40 - BELL END",4,Y,"2 1/2"" PVC PIPE  SCH 40 - BELL END, 73 - 24",73,24,1752,20',4.2
Y,135,"3"" PVC PIPE  SCH 40 - BELL END",4,Y,"3"" PVC PIPE  SCH 40 - BELL END, 75 - 16",75,16,1200,20',6.3
Y,140,"4"" PVC PIPE  SCH 40 - BELL END",7,Y,"4"" PVC PIPE  SCH 40 - BELL END, 57 - 12",57,12,684,20',8.3
Y,145,"6"" PVC PIPE  SCH 40 - BELL END",8,Y,"6"" PVC PIPE  SCH 40 - BELL END, 26 - 12",26,12,312,20',8.3
Y,150,"8"" PVC PIPE  SCH 40 - BELL END",9,Y,"8"" PVC PIPE  SCH 40 - BELL END, 15 - 12",15,12,180,20',8.3
Y,155,"10"" PVC PIPE  SCH 40 - BELL END",5,Y,"10"" PVC PIPE  SCH 40 - BELL END, 12 - 12",12,12,144,20',8.3
Y,160,"12"" PVC PIPE  SCH 40 - BELL END",8,Y,"12"" PVC PIPE  SCH 40 - BELL END, 6 - 6",6,6,84,20',7.1
Y,165,"12"" PVC PIPE  SCH 40 - BELL END",8,Y,"12"" PVC PIPE  SCH 40 - BELL END, 8 - 6",8,6,84,20',9.5
Y,,,,Y,,,,,,
Y,200,"4"" DR18 PVC PIPE  C-900 - GASKET",9,Y,"4"" DR18 PVC PIPE  C-900 - GASKET, 60 - 12",60,12,720,20',8.3
Y,205,"6"" DR18 PVC PIPE  C-900 - GASKET",10,Y,"6"" DR18 PVC PIPE  C-900 - GASKET, 28 - 12",28,12,336,20',8.3
Y,210,"8"" DR18 PVC PIPE  C-900 - GASKET",6,Y,"8"" DR18 PVC PIPE  C-900 - GASKET, 15 - 8",15,8,200,20',7.5
Y,215,"8"" DR18 PVC PIPE  C-900 - GASKET",6,Y,"8"" DR18 PVC PIPE  C-900 - GASKET, 20 - 4",20,4,200,20',10
Y,220,"8"" DR18 PVC PIPE  C-900 - GASKET",6,Y,"8"" DR14 PVC PIPE  C-900 - GASKET, 15 - 12",15,12,200,20',8.3
Y,225,"10"" DR18 PVC PIPE  C-900 - GASKET",9,Y,"10"" DR18 PVC PIPE  C-900 - GASKET, 16 - 8",16,8,128,20',12.5
Y,230,"12"" DR18 PVC PIPE  C-900 - GASKET",10,Y,"12"" DR18 PVC PIPE  C-900 - GASKET, 6 - 4",6,4,98,20',6.1
Y,235,"12"" DR18 PVC PIPE  C-900 - GASKET",10,Y,"12"" DR18 PVC PIPE  C-900 - GASKET, 8 - 4",8,4,98,20',8.2
Y,240,"12"" DR18 PVC PIPE  C-900 - GASKET",10,Y,"12"" DR18 PVC PIPE  C-900 - GASKET, 9 - 2",9,2,98,20',9.2
Y,245,"12"" DR18 PVC PIPE  C-900 - GASKET",10,Y,"12"" DR18 PVC PIPE  C-900 - GASKET, 12 - 2",12,2,98,20',12.2
Y,250,"12"" DR14 PVC PIPE  C-900 - GASKET",10,Y,"12"" DR14 PVC PIPE  C-900 - GASKET, 6 - 6",6,6,98,20',7.1
Y,255,"12"" DR18 PVC PIPE  C-900 - GASKET",10,Y,"12"" DR14 PVC PIPE  C-900 - GASKET, 8 - 6",8,6,98,20',9.5
Y,,,,Y," - ,  - ",,,,,
Y,300,"4"" SDR35 PVC PIPE GRAVITY SEWER - GASKET",8,Y,"4"" SDR35 PVC PIPE GRAVITY SEWER - GASKET, 84 - 18",84,18,1512,14',5.6
Y,305,"6"" SDR35 PVC PIPE GRAVITY SEWER - GASKET",11,Y,"6"" SDR35 PVC PIPE GRAVITY SEWER - GASKET, 40 - 18",40,18,720,14',5.6
Y,310,"8"" SDR35 PVC PIPE GRAVITY SEWER - GASKET",12,Y,"8"" SDR35 PVC PIPE GRAVITY SEWER - GASKET, 30 - 6",30,6,396,14',7.5
Y,315,"8"" SDR35 PVC PIPE GRAVITY SEWER - GASKET",12,Y,"8"" SDR35 PVC PIPE GRAVITY SEWER - GASKET, 36 - 6",36,6,396,14',9.1
Y,320,"10"" SDR35 PVC PIPE GRAVITY SEWER - GASKET",13,Y,"10"" SDR35 PVC PIPE GRAVITY SEWER - GASKET, 12 - 9",12,9,243,14',4.9
Y,325,"10"" SDR35 PVC PIPE GRAVITY SEWER - GASKET",13,Y,"10"" SDR35 PVC PIPE GRAVITY SEWER - GASKET, 15 - 9",15,9,243,14',6.2
Y,330,"12"" SDR35 PVC PIPE GRAVITY SEWER - GASKET",9,Y,"12"" SDR35 PVC PIPE GRAVITY SEWER - GASKET, 12 - 6",12,6,168,14',7.1
Y,335,"12"" SDR35 PVC PIPE GRAVITY SEWER - GASKET",9,Y,"12"" SDR35 PVC PIPE GRAVITY SEWER - GASKET, 16 - 6",16,6,168,14',9.5
Y,340,"4"" SDR26 PVC PIPE GRAVITY SEWER - GASKET",12,Y,"4"" SDR26 PVC PIPE GRAVITY SEWER - GASKET, 84 - 18",84,18,1512,14',8.3
Y,345,"6"" SDR26 PVC PIPE GRAVITY SEWER - GASKET",13,Y,"6"" SDR26 PVC PIPE GRAVITY SEWER - GASKET, 40 - 18",40,18,720,14',5.6
Y,350,"8"" SDR26 PVC PIPE GRAVITY SEWER - GASKET",14,Y,"8"" SDR26 PVC PIPE GRAVITY SEWER - GASKET, 30 - 6",30,6,396,14',7.5
Y,355,"8"" SDR26 PVC PIPE GRAVITY SEWER - GASKET",14,Y,"8"" SDR26 PVC PIPE GRAVITY SEWER - GASKET, 36 - 6",36,6,396,14',9.1
Y,360,"10"" SDR26 PVC PIPE GRAVITY SEWER - GASKET",10,Y,"10"" SDR26 PVC PIPE GRAVITY SEWER - GASKET, 12 - 9",12,9,243,14',5.9
Y,365,"10"" SDR26 PVC PIPE GRAVITY SEWER - GASKET",10,Y,"10"" SDR26 PVC PIPE GRAVITY SEWER - GASKET, 15 - 9",15,9,243,14',6.2
Y,370,"12"" SDR26 PVC PIPE GRAVITY SEWER - GASKET",13,Y,"12"" SDR26 PVC PIPE GRAVITY SEWER - GASKET, 12 - 6",12,6,168,14',7.1
Y,375,"12"" SDR26 PVC PIPE GRAVITY SEWER - GASKET",13,Y,"12"" SDR26 PVC PIPE GRAVITY SEWER - GASKET, 16 - 6",16,6,168,14',9.5
Y,,,,Y," - ,  - ",,,,,
Y,400,"1/2"" PVC PIPE  SCH 80 - BELL END",14,Y,"1/2"" PVC PIPE  SCH 80 - BELL END, 360 - 36",360,36,12960,20',2.8
Y,405,"3/4"" PVC PIPE  SCH 80 - BELL END",15,Y,"3/4"" PVC PIPE  SCH 80 - BELL END, 400 - 24",400,24,9600,20',4.2
Y,410,"1"" PVC PIPE  SCH 80 - BELL END",11,Y,"1"" PVC PIPE  SCH 80 - BELL END, 280 - 20",280,20,5600,20',5
Y,415,"1 1/4"" PVC PIPE  SCH 80 - BELL END",14,Y,"1 1/4"" PVC PIPE  SCH 80 - BELL END, 220 - 24",220,24,5280,20',4.2
Y,420,"1 1/2"" PVC PIPE  80 - BELL END",15,Y,"1 1/2"" PVC PIPE  80 - BELL END, 180 - 24",180,24,4320,20',4.2
Y,425,"2"" PVC PIPE  SCH 80 - BELL END",16,Y,"2"" PVC PIPE  SCH 80 - BELL END, 105 - 24",105,24,2520,20',4.2
Y,430,"2 1/2"" PVC PIPE  SCH 80 - BELL END",12,Y,"2 1/2"" PVC PIPE  SCH 80 - BELL END, 73 - 24",73,24,1752,20',4.2
Y,435,"3"" PVC PIPE  SCH 80 - BELL END",15,Y,"3"" PVC PIPE  SCH 80 - BELL END, 75 - 16",75,16,1200,20',6.3
Y,440,"4"" PVC PIPE  SCH 80 - BELL END",16,Y,"4"" PVC PIPE  SCH 80 - BELL END, 57 - 12",57,12,684,20',8.3
Y,445,"6"" PVC PIPE  SCH 80 - BELL END",17,Y,"6"" PVC PIPE  SCH 80 - BELL END, 26 - 12",26,12,312,20',8.3
Y,450,"8"" PVC PIPE  SCH 80 - BELL END",5,Y,"8"" PVC PIPE  SCH 80 - BELL END, 15 - 12",15,12,180,20',8.3
Y,455,"10"" PVC PIPE  SCH 80 - BELL END",8,Y,"10"" PVC PIPE  SCH 80 - BELL END, 12 - 12",12,12,144,20',8.3
Y,460,"12"" PVC PIPE  SCH 80 - BELL END",9,Y,"12"" PVC PIPE  SCH 80 - BELL END, 6 - 6",6,6,84,20',7.1
Y,465,"12"" PVC PIPE  SCH 80 - BELL END",9,Y,"12"" PVC PIPE  SCH 80 - BELL END, 8 - 6",8,6,84,20',9.5
Y,,,,Y," - ,  - ",,,,,
Y,500,"1/2"" SDR13.5 BE - BELL END",10,Y,"1/2"" SDR13.5 BE - BELL END, 360 - 36",360,36,12960,20',2.8
Y,505,"3/4"" SDR21 BE - BELL END",6,Y,"3/4"" SDR21 BE - BELL END, 400 - 24",400,24,9600,20',4.2
Y,510,"1"" SDR21 BE - BELL END",9,Y,"1"" SDR21 BE - BELL END, 280 - 20",280,20,5600,20',5
